id,url,title,datetime,date,internal_id,text,translations,url_id
7010,https://mid.ru/en/foreign_policy/news/1711875/,"Statement by H.E. Ambassador Anatoly Antonov, Head of the Delegation of the Russian Federation at the Third Session of the Preparatory Committee for the 2010 Review Conference of the Parties to the Treaty on the Non–Proliferation of Nuclear Weapons, New York, 4 May 2009",2009-05-05 19:50:00,2009-05-05,717-05-05-2009,,en; ru,1711875
11847,https://mid.ru/en/foreign_policy/news/1653435/,Report on the human rights situation in the European Union,2012-12-06 13:04:00,2012-12-06,2293-06-12-2012,,en; ru,1653435
12035,https://mid.ru/en/foreign_policy/news/1587812/,"Speech of and answers to questions of mass media by Russian Foreign Minister Sergey Lavrov during joint press conference summarizing the results of negotiations with Secretary General of the Council of Europe Thorbjørn Jagland, Sochi, 20 May 2013",2013-05-21 09:51:00,2013-05-21,1000-21-05-2013,,ru; en; fr; es,1587812
12815,https://mid.ru/en/foreign_policy/news/1709087/,The Hague Nuclear Security Summit Communiqué,2014-03-28 16:43:00,2014-03-28,689-28-03-2014,,en; ru,1709087
14778,https://mid.ru/en/foreign_policy/news/1512649/,The Ministry of Foreign Affairs of the Russian Federation on certain legal issues highlighted by the action of the Arctic Sunrise against Prirazlomnaya platform,2015-08-05 19:20:00,2015-08-05,,,,1512649
